timestamp,period_label,hour_of_day,day_of_week,is_weekend,is_public_holiday,is_daytime,is_nighttime,hours_until_night_tariff,tariff_version,base_tariff_rm_per_kwh,discount_rate,effective_tariff_rm_per_kwh,outdoor_temp_c,outdoor_humidity_percent,real_time_workload_count,batch_workload_count,background_workload_count,real_time_cpu_demand_units,batch_cpu_demand_units,background_cpu_demand_units,real_time_ram_demand_units,batch_ram_demand_units,background_ram_demand_units,real_time_network_demand_units,batch_storage_io_demand_units,avg_real_time_latency_requirement_ms,avg_batch_deadline_hours,batch_delayable_percent,required_background_reserve_percent,forecast_real_time_cpu_next_3h,forecast_batch_cpu_next_6h,forecast_effective_tariff_next_6h_avg,building_avg_rack_utilization_percent,building_avg_available_capacity_percent,building_avg_temp_c,total_it_power_kw,total_cooling_power_kw,total_facility_power_kw,pue_estimate,total_water_lph,wue_l_per_kwh,estimated_hourly_energy_cost_rm,estimated_water_liters,target_acb_floor,target_real_time_floor_count,target_batch_floor_count,target_background_reserve_met,floor_1_avg_rack_utilization_percent,floor_1_available_capacity_percent,floor_1_avg_power_kw,floor_1_avg_temp_c,floor_1_water_lph,floor_1_efficiency_score,floor_1_maintenance_rack_percent,floor_2_avg_rack_utilization_percent,floor_2_available_capacity_percent,floor_2_avg_power_kw,floor_2_avg_temp_c,floor_2_water_lph,floor_2_efficiency_score,floor_2_maintenance_rack_percent,floor_3_avg_rack_utilization_percent,floor_3_available_capacity_percent,floor_3_avg_power_kw,floor_3_avg_temp_c,floor_3_water_lph,floor_3_efficiency_score,floor_3_maintenance_rack_percent,floor_4_avg_rack_utilization_percent,floor_4_available_capacity_percent,floor_4_avg_power_kw,floor_4_avg_temp_c,floor_4_water_lph,floor_4_efficiency_score,floor_4_maintenance_rack_percent,floor_5_avg_rack_utilization_percent,floor_5_available_capacity_percent,floor_5_avg_power_kw,floor_5_avg_temp_c,floor_5_water_lph,floor_5_efficiency_score,floor_5_maintenance_rack_percent,floor_6_avg_rack_utilization_percent,floor_6_available_capacity_percent,floor_6_avg_power_kw,floor_6_avg_temp_c,floor_6_water_lph,floor_6_efficiency_score,floor_6_maintenance_rack_percent,floor_7_avg_rack_utilization_percent,floor_7_available_capacity_percent,floor_7_avg_power_kw,floor_7_avg_temp_c,floor_7_water_lph,floor_7_efficiency_score,floor_7_maintenance_rack_percent,floor_8_avg_rack_utilization_percent,floor_8_available_capacity_percent,floor_8_avg_power_kw,floor_8_avg_temp_c,floor_8_water_lph,floor_8_efficiency_score,floor_8_maintenance_rack_percent,floor_9_avg_rack_utilization_percent,floor_9_available_capacity_percent,floor_9_avg_power_kw,floor_9_avg_temp_c,floor_9_water_lph,floor_9_efficiency_score,floor_9_maintenance_rack_percent,floor_10_avg_rack_utilization_percent,floor_10_available_capacity_percent,floor_10_avg_power_kw,floor_10_avg_temp_c,floor_10_water_lph,floor_10_efficiency_score,floor_10_maintenance_rack_percent
2026-03-22 00:00:00,past,0,6,1,0,0,1,0,T2026_Q2,0.35,0.1,0.315,28.71,71.91,217,280,92,104.36,97.52,22.14,96.17,98.2,18.51,69.81,88.71,51.27,13.98,61.69,11,91.59,90.82,0.315,50.67,46.35,25.76,2204.1,859.3,3063.4,1.39,6239.56,2.831,964.97,6239.56,4,4,6,1,41.83,56.98,214.93,25.63,583.54,0.813,1.18,43.26,53.52,207.27,25.4,591.61,0.771,3.22,43.67,53.35,207.8,24.93,534.76,0.875,2.97,54.31,42.3,233.11,26.4,609.3,0.698,3.39,56.07,41.85,237.62,25.18,605.18,0.725,2.08,55.77,40.0,243.14,25.9,648.08,0.741,4.22,48.33,49.63,196.74,25.21,680.94,0.842,2.04,51.47,43.53,211.69,26.62,721.54,0.796,5.01,54.08,45.92,222.37,26.24,594.55,0.866,0.0,57.88,36.41,229.41,26.04,670.06,0.758,5.71
2026-03-22 01:00:00,past,1,6,1,0,0,1,0,T2026_Q2,0.35,0.1,0.315,32.14,80.22,226,260,81,91.38,74.57,21.21,88.24,83.25,17.06,55.01,82.93,52.26,11.9,75.71,15,103.95,70.29,0.315,47.25,50.07,26.29,2118.63,788.26,2906.88,1.372,7248.63,3.421,915.67,7248.63,3,3,7,1,36.75,60.4,186.0,25.69,746.13,0.81,2.85,40.99,56.08,209.15,26.48,712.96,0.813,2.93,51.25,48.55,242.13,25.65,666.8,0.853,0.2,47.88,52.12,201.9,26.64,757.7,0.74,0.0,52.08,45.56,210.11,26.67,713.14,0.722,2.36,51.62,44.86,205.63,25.41,692.65,0.784,3.52,42.59,53.72,202.17,26.2,752.44,0.806,3.69,50.34,49.04,203.76,27.02,754.37,0.823,0.62,51.07,43.11,239.1,26.24,656.69,0.836,5.83,47.91,47.24,218.67,26.92,795.76,0.728,4.85
2026-03-22 02:00:00,past,2,6,1,0,0,1,0,T2026_Q2,0.35,0.1,0.315,29.72,79.41,166,301,82,74.46,115.48,20.26,57.46,78.08,16.58,55.49,105.56,45.03,13.85,80.08,13,77.09,85.04,0.315,48.61,47.96,26.59,2146.32,824.02,2970.34,1.384,6911.29,3.22,935.66,6911.29,4,4,6,1,49.88,46.4,232.05,27.13,661.57,0.74,3.72,50.1,45.88,261.13,26.75,780.9,0.824,4.03,52.05,45.58,210.39,26.21,676.45,0.815,2.37,52.1,47.9,196.84,26.03,711.62,0.881,0.0,52.55,45.88,217.97,26.6,685.87,0.707,1.57,36.82,58.92,184.74,25.04,624.37,0.882,4.27,54.65,41.34,212.52,26.28,654.32,0.787,4.01,42.38,53.81,205.41,27.57,732.9,0.888,3.81,46.19,46.28,214.92,26.7,683.58,0.764,7.53,49.41,47.64,210.34,27.56,699.71,0.607,2.95
2026-03-22 03:00:00,past,3,6,1,0,0,1,0,T2026_Q2,0.35,0.1,0.315,29.89,74.64,195,250,90,83.45,82.5,22.75,71.09,81.14,22.18,70.87,69.53,72.06,9.6,75.79,16,87.01,71.7,0.315,48.55,48.17,26.13,2164.43,856.21,3020.63,1.396,6811.52,3.147,951.5,6811.52,4,4,6,1,43.76,54.22,213.22,26.24,689.57,0.786,2.01,51.02,44.35,207.55,25.9,703.18,0.814,4.63,54.85,41.91,220.58,27.0,701.97,0.782,3.23,52.01,43.34,235.0,26.42,694.87,0.82,4.65,47.65,49.61,219.24,25.51,664.84,0.777,2.74,51.76,42.92,232.12,26.9,678.31,0.714,5.32,52.81,45.55,220.58,25.79,660.69,0.797,1.65,48.36,50.28,216.9,25.8,650.69,0.772,1.36,42.53,55.28,201.64,26.13,743.61,0.716,2.19,40.77,54.27,197.61,25.56,623.79,0.761,4.96
2026-03-22 04:00:00,past,4,6,1,0,0,1,0,T2026_Q2,0.35,0.1,0.315,28.37,73.12,215,270,87,90.41,98.52,19.06,81.91,91.78,24.19,72.75,120.87,48.86,15.24,78.47,19,76.05,91.66,0.315,49.26,48.26,26.52,2131.48,871.04,3002.52,1.409,6820.13,3.2,945.79,6820.13,4,4,6,1,45.29,54.71,198.35,26.1,730.67,0.767,0.0,43.11,55.04,204.23,24.81,683.9,0.846,1.85,56.68,43.32,231.55,27.6,663.84,0.759,0.0,45.91,50.99,216.4,25.16,609.54,0.765,3.09,41.92,53.66,180.56,26.82,673.78,0.787,4.42,55.8,40.97,226.71,28.21,799.12,0.852,3.23,56.99,38.72,217.51,27.18,676.07,0.842,4.29,47.22,52.78,221.76,27.29,772.98,0.741,0.0,48.56,49.85,221.88,26.14,596.62,0.719,1.59,51.15,42.51,212.53,25.89,613.62,0.704,6.34
2026-03-22 05:00:00,past,5,6,1,0,0,1,0,T2026_Q2,0.35,0.1,0.315,29.11,62.89,176,281,72,70.02,84.33,23.66,67.13,82.06,16.46,52.01,92.44,59.91,15.02,72.76,13,72.5,53.37,0.315,47.39,48.82,25.93,2073.35,820.83,2894.17,1.396,6055.51,2.921,911.66,6055.51,3,3,7,1,55.39,38.88,229.2,27.03,793.22,0.721,5.73,39.93,57.33,171.59,25.88,554.32,0.854,2.74,55.93,43.23,242.36,26.59,698.5,0.75,0.84,49.19,44.76,206.07,26.07,561.59,0.722,6.05,37.71,55.47,195.33,25.07,553.02,0.807,6.82,41.27,55.64,203.81,25.75,579.89,0.731,3.1,49.4,46.08,204.92,26.32,605.56,0.764,4.51,49.97,48.36,205.29,24.82,533.94,0.827,1.67,50.52,46.28,197.15,26.25,586.41,0.801,3.19,44.53,52.19,217.62,25.51,589.08,0.771,3.28
2026-03-22 06:00:00,past,6,6,1,0,0,1,0,T2026_Q2,0.35,0.1,0.315,32.41,85.1,219,277,89,86.69,100.92,21.7,93.45,91.46,20.78,62.09,87.43,51.54,14.29,73.63,15,72.73,72.11,0.315,50.64,46.02,26.57,2164.65,794.85,2959.49,1.367,7511.43,3.47,932.24,7511.43,4,4,6,1,45.53,49.07,182.77,25.33,610.05,0.781,5.4,50.07,43.57,213.58,27.05,710.59,0.799,6.35,55.11,44.85,230.13,26.33,828.27,0.821,0.04,45.63,50.87,197.62,26.81,732.15,0.774,3.5,50.52,45.52,233.07,26.01,670.68,0.737,3.96,53.2,43.04,214.61,27.26,832.96,0.752,3.75,41.33,57.22,170.8,27.1,787.86,0.887,1.45,63.61,35.64,246.73,27.22,814.83,0.814,0.75,51.9,44.68,242.8,27.57,823.8,0.799,3.42,49.54,45.71,232.55,25.01,700.25,0.72,4.75
2026-03-22 07:00:00,past,7,6,1,0,0,1,0,T2026_Q2,0.35,0.1,0.315,29.12,71.25,212,239,69,86.19,105.98,16.53,67.81,74.13,14.43,40.73,80.61,53.15,14.89,91.79,17,78.03,93.46,0.315,50.92,46.3,26.41,2159.63,831.73,2991.36,1.385,6702.09,3.103,942.28,6702.09,4,4,6,1,48.06,48.83,204.53,26.32,642.75,0.925,3.12,44.92,52.14,197.88,26.08,700.47,0.771,2.93,55.87,38.95,212.26,26.32,607.18,0.65,5.18,59.11,40.11,251.35,27.79,718.53,0.726,0.78,41.48,54.54,209.4,25.61,646.7,0.735,3.98,55.98,41.75,216.36,27.09,709.74,0.797,2.28,54.77,44.73,223.76,26.11,660.9,0.809,0.5,53.07,46.93,211.28,27.84,743.0,0.729,0.0,46.38,48.82,212.89,26.04,687.45,0.799,4.81,49.52,46.21,219.91,24.87,585.35,0.777,4.27
2026-03-22 08:00:00,past,8,6,1,0,1,0,14,T2026_Q2,0.5,0.1,0.45,33.24,77.62,202,312,77,76.93,118.69,14.01,85.08,105.74,17.73,68.54,132.06,63.11,6.82,76.76,13,81.66,147.05,0.45,42.87,53.35,26.13,2090.13,805.6,2895.73,1.385,7077.38,3.386,1303.08,7077.38,4,4,6,1,41.85,54.78,192.9,24.84,566.73,0.761,3.37,40.67,54.22,229.85,26.29,688.82,0.749,5.11,47.08,51.07,239.33,26.18,715.7,0.818,1.85,42.58,50.88,223.45,26.57,733.67,0.763,6.54,36.91,58.85,177.95,25.5,692.93,0.809,4.24,48.59,51.08,221.15,26.78,798.16,0.783,0.33,36.33,60.81,190.21,25.83,653.12,0.816,2.86,46.05,48.84,218.47,26.22,743.46,0.746,5.11,43.5,51.31,198.55,25.81,678.67,0.762,5.19,45.14,51.65,198.28,27.3,806.12,0.832,3.21
2026-03-22 09:00:00,past,9,6,1,0,1,0,13,T2026_Q2,0.5,0.1,0.45,33.15,75.64,364,321,91,186.35,109.74,21.13,159.48,123.0,18.12,103.08,104.62,36.24,8.66,78.97,15,204.93,133.28,0.45,56.51,40.17,27.29,2335.94,909.16,3245.09,1.389,7764.21,3.324,1460.29,7764.21,6,6,4,1,66.94,32.06,246.6,27.3,737.29,0.874,1.0,62.42,34.24,245.85,29.06,808.56,0.817,3.33,54.08,44.03,241.9,27.77,735.77,0.752,1.89,60.14,37.97,241.38,25.76,786.91,0.788,1.9,56.49,41.28,238.14,27.29,807.58,0.73,2.22,48.83,50.93,216.63,27.78,774.75,0.734,0.24,66.81,27.81,247.04,26.94,792.97,0.792,5.38,47.93,47.9,213.47,27.18,792.53,0.892,4.17,56.82,35.84,236.5,26.65,771.53,0.842,7.34,44.6,49.66,208.42,27.14,756.32,0.728,5.74
