timestamp,total_workload_groups,total_workload_quantity,real_time_quantity,batch_quantity,background_quantity,avg_priority_level,delayable_workload_groups,avg_max_delay_hours,total_cpu_units,total_ram_units,total_storage_io_units,total_network_units
2026-03-22 00:00:00,11,571,201,280,90,3.4545454545454546,6,2.090909090909091,221.6,183.61,137.97,158.25
2026-03-22 01:00:00,10,538,240,229,69,3.3,6,4.6,187.64000000000001,181.31,132.66,140.1
2026-03-22 02:00:00,13,501,179,271,51,3.1538461538461537,8,4.461538461538462,176.72,146.31,159.9,111.65
2026-03-22 03:00:00,10,513,175,267,71,3.3,7,3.7,178.31,174.65,155.2,119.03
2026-03-22 04:00:00,8,524,195,268,61,3.125,5,4.25,186.11,177.67,152.73,153.83
2026-03-22 05:00:00,12,545,168,315,62,3.3333333333333335,6,2.1666666666666665,179.57,188.32,149.32,129.9
2026-03-22 06:00:00,12,622,208,290,124,3.3333333333333335,7,2.75,250.51,195.7,174.35000000000002,152.55
2026-03-22 07:00:00,13,480,206,201,73,3.1538461538461537,9,4.0,180.06,147.79,107.49,127.87
2026-03-22 08:00:00,12,618,207,318,93,3.25,7,3.75,214.21,188.13,197.73,169.78
2026-03-22 09:00:00,11,770,376,294,100,3.5454545454545454,5,4.454545454545454,293.3,257.39,212.31,198.63
2026-03-22 10:00:00,9,810,345,387,78,2.888888888888889,6,5.333333333333333,296.77,219.07,209.47,198.05
2026-03-22 11:00:00,9,820,369,393,58,3.0,6,7.111111111111111,352.68,259.05,279.09,216.91
2026-03-22 12:00:00,12,835,390,352,93,2.6666666666666665,8,6.583333333333333,315.21,263.95,220.74,265.31
2026-03-22 13:00:00,8,583,279,247,57,3.0,5,5.5,247.63,202.85999999999999,189.86,136.18
2026-03-22 14:00:00,13,841,396,348,97,3.1538461538461537,7,5.076923076923077,321.8,270.65,224.24,211.95000000000002
2026-03-22 15:00:00,13,834,382,383,69,3.3076923076923075,7,4.6923076923076925,326.02,297.56,228.29,226.4
2026-03-22 16:00:00,14,799,340,360,99,3.142857142857143,10,7.285714285714286,306.87,266.26,230.99,186.37
2026-03-22 17:00:00,13,779,315,411,53,2.8461538461538463,8,5.461538461538462,304.21,299.54,224.82,195.61
2026-03-22 18:00:00,12,846,468,310,68,3.0833333333333335,9,6.583333333333333,324.32,311.06,213.38,245.82
2026-03-22 19:00:00,15,710,347,300,63,3.066666666666667,10,6.0,283.2,252.46,158.76,189.63
2026-03-22 20:00:00,12,680,285,349,46,3.0833333333333335,7,4.833333333333333,224.96,241.24,167.97,193.94
2026-03-22 21:00:00,11,681,333,269,79,3.3636363636363638,6,4.2727272727272725,278.94,246.10999999999999,160.72,176.53
2026-03-22 22:00:00,12,541,188,278,75,3.25,6,4.25,210.99,189.35,148.99,128.32
2026-03-22 23:00:00,10,632,195,333,104,3.1,5,4.7,228.26,210.03,188.3,142.94
2026-03-23 00:00:00,11,538,186,286,66,3.272727272727273,7,5.636363636363637,180.28,180.94,176.05,145.35
2026-03-23 01:00:00,10,494,187,237,70,3.1,7,4.5,198.1,164.04,125.5,133.63
2026-03-23 02:00:00,13,434,206,160,68,3.3846153846153846,8,4.076923076923077,157.64,141.3,115.41,116.95
2026-03-23 03:00:00,10,567,231,225,111,3.3,6,3.6,209.13,194.53,145.74,161.46
2026-03-23 04:00:00,11,553,228,284,41,2.909090909090909,8,4.0,211.72,178.56,164.73,132.61
2026-03-23 05:00:00,12,650,269,297,84,2.6666666666666665,8,5.0,229.02,210.32,197.5,178.04
2026-03-23 06:00:00,11,667,291,282,94,3.272727272727273,7,2.6363636363636362,245.92000000000002,220.38,184.06,176.31
2026-03-23 07:00:00,13,524,264,204,56,3.4615384615384617,7,3.3076923076923075,206.79,165.59,158.0,144.39000000000001
2026-03-23 08:00:00,10,639,228,320,91,3.2,6,6.2,197.74,212.01999999999998,198.33,150.76
2026-03-23 09:00:00,11,695,377,278,40,2.5454545454545454,8,6.363636363636363,268.98,215.98,174.29,179.04
2026-03-23 10:00:00,9,790,328,346,116,3.6666666666666665,4,2.5555555555555554,309.55,297.13,212.98,195.20999999999998
2026-03-23 11:00:00,12,707,434,204,69,2.8333333333333335,6,5.333333333333333,249.52,234.09,179.45,207.09
2026-03-23 12:00:00,12,762,400,287,75,3.0833333333333335,8,4.583333333333333,272.02,268.3,189.94,240.24
2026-03-23 13:00:00,10,683,334,285,64,2.6,7,5.1,245.9,198.55,190.32,204.97
2026-03-23 14:00:00,11,704,410,203,91,3.4545454545454546,6,4.636363636363637,261.28,258.96999999999997,179.51,200.97
2026-03-23 15:00:00,10,664,381,229,54,3.2,6,5.0,239.5,229.44,187.13,185.26
2026-03-23 16:00:00,12,711,385,257,69,3.4166666666666665,6,5.0,304.26,258.49,213.85,217.38
2026-03-23 17:00:00,11,701,403,195,103,3.1818181818181817,7,6.181818181818182,294.21,274.34000000000003,156.24,186.95
2026-03-23 18:00:00,15,719,406,248,65,3.3333333333333335,9,5.2,254.87,239.63,192.73,210.96
2026-03-23 19:00:00,9,566,295,227,44,3.0,6,6.0,209.65,202.4,127.81,163.82999999999998
2026-03-23 20:00:00,13,652,274,327,51,3.0,9,8.153846153846153,255.6,200.59,175.87,166.25
