timestamp,total_power_kw,floor1_power_kw,floor2_power_kw,roomA_power_kw,roomB_power_kw,roomC_power_kw,roomD_power_kw,floor1_ac_kw,floor1_light_kw,floor1_plug_kw,floor2_ac_kw,floor2_light_kw,floor2_plug_kw
2026-03-22 00:00:00,18.36,4.3,4.19,1.62,0.59,1.73,0.58,3.47,0.31,0.52,3.43,0.3,0.46
2026-03-22 01:00:00,17.4,4.69,3.84,1.77,0.65,1.58,0.56,3.79,0.34,0.56,3.09,0.27,0.48
2026-03-22 02:00:00,18.12,4.47,4.28,1.67,0.63,1.77,0.57,3.61,0.36,0.49,3.53,0.3,0.45
2026-03-22 03:00:00,17.97,4.36,4.25,1.65,0.64,1.75,0.58,3.45,0.32,0.59,3.49,0.3,0.46
2026-03-22 04:00:00,17.97,4.31,4.24,1.61,0.62,1.76,0.59,3.47,0.34,0.5,3.44,0.27,0.54
2026-03-22 05:00:00,17.7,4.43,4.03,1.67,0.58,1.65,0.58,3.63,0.32,0.48,3.28,0.32,0.43
2026-03-22 06:00:00,20.88,6.11,5.35,2.2,1.44,2.06,1.39,4.12,0.77,1.22,3.44,0.62,1.29
2026-03-22 07:00:00,20.01,5.67,5.64,2.01,1.5,2.11,1.52,3.61,0.8,1.26,3.65,0.82,1.16
2026-03-22 08:00:00,25.36,8.16,7.47,2.77,2.82,2.6,2.89,4.29,1.53,2.34,3.58,1.41,2.48
2026-03-22 09:00:00,23.64,7.87,7.11,2.72,2.87,2.51,2.63,3.8,1.4,2.67,3.6,1.29,2.22
2026-03-22 10:00:00,24.69,7.76,7.17,2.66,2.51,2.54,2.63,4.31,1.37,2.08,3.61,1.26,2.29
2026-03-22 11:00:00,24.28,7.95,7.3,2.74,2.69,2.55,2.81,4.18,1.38,2.38,3.52,1.36,2.42
2026-03-22 12:00:00,25.06,7.86,7.52,2.62,2.72,2.6,2.86,4.2,1.57,2.09,3.72,1.47,2.32
2026-03-22 13:00:00,24.96,8.17,7.56,2.75,3.01,2.63,2.9,4.02,1.62,2.54,3.7,1.45,2.41
2026-03-22 14:00:00,24.88,7.62,7.31,2.56,2.83,2.66,2.61,3.72,1.52,2.38,3.71,1.13,2.47
2026-03-22 15:00:00,25.94,8.73,7.5,3.06,2.78,2.7,2.48,4.81,1.39,2.52,4.23,1.29,1.99
2026-03-22 16:00:00,26.4,8.5,8.13,3.03,2.73,2.88,2.91,4.57,1.26,2.68,4.25,1.45,2.43
2026-03-22 17:00:00,25.39,8.59,7.47,2.98,2.87,2.74,2.47,4.57,1.46,2.56,4.13,1.15,2.19
2026-03-22 18:00:00,26.65,8.96,7.59,3.12,2.83,2.69,2.71,5.01,1.46,2.49,3.98,1.36,2.25
2026-03-22 19:00:00,21.93,5.98,5.87,2.11,1.52,2.25,1.47,3.92,0.86,1.2,3.89,0.73,1.24
2026-03-22 20:00:00,22.55,6.72,5.76,2.41,1.69,2.2,1.48,4.38,0.89,1.45,3.79,0.74,1.23
