timestamp,total_water_l,floor1_water_l,floor2_water_l,roomA_water_l,roomB_water_l,roomC_water_l,roomD_water_l
2026-03-22 00:00:00,138.14,55.13,49.85,17.64,15.44,16.95,10.97
2026-03-22 01:00:00,134.8,55.13,49.85,17.64,15.44,16.95,10.97
2026-03-22 02:00:00,136.47,55.13,49.85,17.64,15.44,16.95,10.97
2026-03-22 03:00:00,136.42,55.13,49.85,17.64,15.44,16.95,10.97
2026-03-22 04:00:00,136.59,55.13,49.85,17.64,15.44,16.95,10.97
2026-03-22 05:00:00,136.02,55.13,49.85,17.64,15.44,16.95,10.97
2026-03-22 06:00:00,157.29,65.82,59.83,21.06,18.43,20.34,13.16
2026-03-22 07:00:00,154.88,65.82,59.83,21.06,18.43,20.34,13.16
2026-03-22 08:00:00,186.55,80.4,73.44,25.73,22.51,24.97,16.16
2026-03-22 09:00:00,182.94,80.4,73.44,25.73,22.51,24.97,16.16
2026-03-22 10:00:00,186.63,80.4,73.44,25.73,22.51,24.97,16.16
2026-03-22 11:00:00,184.22,80.4,73.44,25.73,22.51,24.97,16.16
2026-03-22 12:00:00,186.38,80.4,73.44,25.73,22.51,24.97,16.16
2026-03-22 13:00:00,184.86,80.4,73.44,25.73,22.51,24.97,16.16
2026-03-22 14:00:00,204.86,87.95,80.34,28.15,24.63,27.32,17.67
2026-03-22 15:00:00,227.18,97.95,89.47,31.34,27.43,30.42,19.68
2026-03-22 16:00:00,247.04,106.41,97.2,34.05,29.79,33.05,21.38
2026-03-22 17:00:00,218.81,95,86.78,30.4,26.6,29.5,19.09
2026-03-22 18:00:00,236.59,101.31,92.54,32.42,28.37,31.46,20.36
2026-03-22 19:00:00,181.6,74.93,68.11,23.98,20.98,23.16,14.99
2026-03-22 20:00:00,188.1,77.64,70.57,24.84,21.74,23.99,15.53
2026-03-22 21:00:00,158.9,65.82,59.83,21.06,18.43,20.34,13.16
2026-03-22 22:00:00,158.71,65.82,59.83,21.06,18.43,20.34,13.16
2026-03-22 23:00:00,136.21,55.13,49.85,17.64,15.44,16.95,10.97
2026-03-23 00:00:00,153.04,63.84,57.98,20.43,17.88,19.71,12.76
2026-03-23 01:00:00,155.37,63.84,57.98,20.43,17.88,19.71,12.76
2026-03-23 02:00:00,153.98,63.84,57.98,20.43,17.88,19.71,12.76
2026-03-23 03:00:00,152.44,63.84,57.98,20.43,17.88,19.71,12.76
2026-03-23 04:00:00,152.63,63.84,57.98,20.43,17.88,19.71,12.76
2026-03-23 05:00:00,152.62,63.84,57.98,20.43,17.88,19.71,12.76
2026-03-23 06:00:00,198.64,87.6,80.16,28.03,24.53,27.25,17.64
2026-03-23 07:00:00,199.32,87.6,80.16,28.03,24.53,27.25,17.64
2026-03-23 08:00:00,261.37,120,110.4,38.4,33.6,37.54,24.29
2026-03-23 09:00:00,260.81,120,110.4,38.4,33.6,37.54,24.29
2026-03-23 10:00:00,263.94,120,110.4,38.4,33.6,37.54,24.29
2026-03-23 11:00:00,263.34,120,110.4,38.4,33.6,37.54,24.29
2026-03-23 12:00:00,265.59,120,110.4,38.4,33.6,37.54,24.29
2026-03-23 13:00:00,264.56,120,110.4,38.4,33.6,37.54,24.29
2026-03-23 14:00:00,268.88,123.71,113.82,39.59,34.64,38.7,25.04
2026-03-23 15:00:00,292.68,133.92,123.2,42.85,37.5,41.89,27.1
2026-03-23 16:00:00,323.92,146.46,134.74,46.87,41.01,45.81,29.64
2026-03-23 17:00:00,317.26,146.47,134.75,46.87,41.01,45.82,29.65
2026-03-23 18:00:00,362.19,164.02,150.9,52.49,45.93,51.31,33.2
2026-03-23 19:00:00,229.98,101.78,93.14,32.57,28.5,31.67,20.49
2026-03-23 20:00:00,228.4,98.93,90.52,31.66,27.7,30.78,19.92
2026-03-23 21:00:00,199.58,87.6,80.16,28.03,24.53,27.25,17.64
2026-03-23 22:00:00,201.96,87.6,80.16,28.03,24.53,27.25,17.64
2026-03-23 23:00:00,156.09,63.84,57.98,20.43,17.88,19.71,12.76
2026-03-24 00:00:00,154.2,63.84,57.98,20.43,17.88,19.71,12.76
2026-03-24 01:00:00,153.9,63.84,57.98,20.43,17.88,19.71,12.76
2026-03-24 02:00:00,151.47,63.84,57.98,20.43,17.88,19.71,12.76
2026-03-24 03:00:00,153.82,63.84,57.98,20.43,17.88,19.71,12.76
2026-03-24 04:00:00,153.21,63.84,57.98,20.43,17.88,19.71,12.76
2026-03-24 05:00:00,152.83,63.84,57.98,20.43,17.88,19.71,12.76
2026-03-24 06:00:00,198.03,87.6,80.16,28.03,24.53,27.25,17.64
2026-03-24 07:00:00,197.85,87.6,80.16,28.03,24.53,27.25,17.64
2026-03-24 08:00:00,260.17,120,110.4,38.4,33.6,37.54,24.29
2026-03-24 09:00:00,262.48,120,110.4,38.4,33.6,37.54,24.29
2026-03-24 10:00:00,261.07,120,110.4,38.4,33.6,37.54,24.29
2026-03-24 11:00:00,262.34,120,110.4,38.4,33.6,37.54,24.29
2026-03-24 12:00:00,262.76,120,110.4,38.4,33.6,37.54,24.29
2026-03-24 13:00:00,261.54,120,110.4,38.4,33.6,37.54,24.29
2026-03-24 14:00:00,293.74,133.17,122.52,42.61,37.29,41.66,26.95
2026-03-24 15:00:00,319.66,144.93,133.34,46.38,40.58,45.33,29.33
2026-03-24 16:00:00,313.01,142.6,131.19,45.63,39.93,44.6,28.86
2026-03-24 17:00:00,334.76,151.71,139.57,48.55,42.48,47.45,30.71
2026-03-24 18:00:00,366.97,166.89,153.54,53.4,46.73,52.2,33.78
2026-03-24 19:00:00,230.36,100.54,92,32.17,28.15,31.28,20.24
2026-03-24 20:00:00,227.22,99.17,90.75,31.73,27.77,30.85,19.96
